Laptop_name,Price(VND),GPU,CPU,RAM(GB),Storage(GB),Screen_size(inches)
Laptop AI Lenovo Yoga Book 9 13IMU9 - 83FF001SVN,61490000.0,Intel Arc Graphics,Intel Core Ultra 7155U,32.0,1024.0,13.3
Máy tính xách tay/ Laptop Lenovo IdeaPad Slim 5 14IMH9 - 83DA001NVN,21490000.0,Intel Arc Graphics,Intel Core Ultra 5125H,16.0,512.0,14.0
Laptop Lenovo Yoga 9 2in1-14IMH9 - 83AC000SVN,43990000.0,Intel Arc Graphics,Intel Core Ultra 7155H,16.0,1024.0,14.0
Laptop Yoga Slim 7 14IMH9 - 83CV001VVN,30990000.0,Intel Arc Graphics,Intel Core Ultra 7155H,32.0,1024.0,14.0
Laptop Lenovo Yoga Slim 7 14IMH9 - 83CV001UVN,30490000.0,Intel Arc Graphics,Intel Core Ultra 7155H,32.0,512.0,14.0
Laptop MSI Modern 14 C13M - 609VN,12990000.0,Intel Iris Xe Graphics,Intel Core i51335U,8.0,512.0,14.0
Laptop MSI Modern 14 C13M - 611VN,13990000.0,Intel Iris Xe Graphics,Intel Core i51335U,16.0,512.0,14.0
Laptop Lenovo Yoga Slim 6 14IRH8 - 83E00008VN,24990000.0,Intel Iris Xe Graphics,Intel Core i713700H,16.0,512.0,14.0
Laptop AI Lenovo Ideapad Slim 5 16IMH9 - 83DC001SVN,25490000.0,Intel Arc Graphics,Intel Core Ultra 7155H,32.0,512.0,16.0
Laptop AI Lenovo Ideapad Slim 5 16IMH9 - 83DC001RVN,21990000.0,Intel Arc Graphics,Intel Core Ultra 5125H,16.0,512.0,16.0
Laptop AI Lenovo IdeaPad Slim 5 14IMH9 - 83DA006TVN,21790000.0,Intel Arc Graphics,Intel Core Ultra 5125H,16.0,1024.0,14.0
Laptop ASUS Gaming Vivobook K3605ZU-RP296W,23990000.0,NVIDIA GeForce RTX 4050,Intel Core i512500H,16.0,512.0,16.0
Laptop ASUS Vivobook Go 14 E1404FA-NK177W,12790000.0,AMD Radeon 610M,AMD Ryzen 5 7520U,16.0,512.0,14.0
Laptop ASUS Vivobook S 16 OLED S5606MA-MX051W,27990000.0,Intel Arc Graphics,Intel Core Ultra 7155H,16.0,512.0,16.0
Laptop ASUS Vivobook 14X OLED A1405ZA-KM263W,18290000.0,Intel Iris Xe Graphics,Intel Core i712700H,16.0,512.0,14.0
Laptop ASUS Vivobook 14 X1404ZA-NK386W,9690000.0,Intel UHD Graphics,Intel Core i31215U,8.0,512.0,14.0
Laptop ASUS Vivobook 15X Oled M3504YA-L1268W,13990000.0,AMD Radeon Graphics,AMD Ryzen 5 7530U,16.0,512.0,15.6
Laptop ASUS Vivobook 15 OLED A1505VA-L1491W,21590000.0,Intel Iris Xe Graphics,Intel Core i713700H,16.0,512.0,15.6
Laptop MSI Modern 14 C13M - 608VN,13990000.0,Intel Iris Xe Graphics,Intel Core i51335U,16.0,512.0,14.0
Laptop Dell Vostro 3530 - V5I5267W1,15790000.0,Intel Iris Xe Graphics,Intel Core i51335U,8.0,256.0,15.6
Laptop ASUS Vivobook S 14 OLED S5406MA-PP028W,24590000.0,Intel Arc Graphics,Intel Core Ultra 5125H,16.0,512.0,14.0
Laptop ASUS Zenbook S 14 UX5406SA-PV140WS,44990000.0,Intel Arc Graphics,Intel Core Ultra 7258V,32.0,1024.0,14.0
Laptop ASUS ROG Flow X16 GV601VV-NF044W,54990000.0,NVIDIA GeForce RTX 4060,Intel Core i913900H,16.0,1024.0,16.0
Laptop MSI Prestige 14 AI Studio C1VEG-056VN,32990000.0,NVIDIA GeForce RTX 4050,Intel Core Ultra 7155H,32.0,1024.0,14.0
Laptop MSI Prestige 14 AI Studio C1UDXG-058VN,26990000.0,NVIDIA GeForce RTX 3050,Intel Core Ultra 7155H,16.0,1024.0,14.0
Laptop ASUS ROG Zephyrus G16 GA605WI 2024,77990000.0,NVIDIA GeForce RTX 4070,AMD Ryzen AI 9 HX 370,32.0,1024.0,16.0
Laptop ASUS TUF Gaming A14 2024,42490000.0,NVIDIA GeForce RTX 4060,AMD Ryzen AI 9 HX 370,16.0,1024.0,14.0
Laptop ASUS Vivobook S 14 M5406WA-PP071WS,32190000.0,AMD Radeon 890M,AMD Ryzen AI 9 HX 370,32.0,1024.0,14.0
Laptop ACER Swift Lite 14 AI SFL14-51M-56HS,18590000.0,Intel Arc Graphics,Intel Core Ultra 5125H,16.0,512.0,14.0
Laptop ACER Nitro V 16 ProPanel ANV16-41-R7EN,27490000.0,NVIDIA GeForce RTX 3050,AMD Ryzen 7 8845HS,16.0,512.0,16.0
Laptop ACER Swift Go AI OLED SFG14-73-57FZ,23390000.0,Intel Arc Graphics,Intel Core Ultra 5125H,16.0,512.0,14.0
Laptop AI LG Gram 14Z90S-G.AH75A5,40490000.0,Intel Arc Graphics,Intel Core Ultra 7155H,16.0,512.0,14.0
Laptop LG Gram 2024 14Z90S-G.AH55A5,35490000.0,Intel Arc Graphics,Intel Core Ultra 5125H,16.0,512.0,14.0
Laptop LG Gram 17Z90S-G.AH78A5,47990000.0,Intel Arc Graphics,Intel Core Ultra 7155H,16.0,1024.0,17.0
Laptop ACER Nitro V 16 ProPanel ANV16-41-R6ZY,26290000.0,NVIDIA GeForce RTX 3050,AMD Ryzen 5 8645HS,16.0,512.0,16.0
Laptop AI HP Envy X360 14-fc0091TU - A19C1PA,29990000.0,Intel Arc Graphics,Intel Core Ultra 5125U,16.0,1024.0,14.0
Laptop HP Probook 440 G11 - A74B5PT,21690000.0,Intel Arc Graphics,Intel Core Ultra 5125U,16.0,512.0,14.0
Laptop AI HP Envy X360 14-fc0085TU - A19BVPA,32990000.0,Intel Arc Graphics,Intel Core Ultra 7155U,32.0,512.0,14.0
Laptop AI HP Envy X360 14-fa0047AU - A19BPPA,31690000.0,AMD Radeon 780M,AMD Ryzen 7 8840HS,16.0,1024.0,14.0
Laptop AI HP Probook 440 G11 - A74BHPT,25690000.0,Intel Arc Graphics,Intel Core Ultra 7155U,16.0,512.0,14.0
Laptop MSI Stealth 18 Mercedes AMG A1VHG-080VN,99990000.0,NVIDIA GeForce RTX 4080,Intel Core Ultra 9185H,64.0,2048.0,18.0
Laptop LG Gram 2024 16Z90S-G.AH76A5,44490000.0,Intel Arc Graphics,Intel Core Ultra 7155H,16.0,512.0,16.0
Laptop gaming MSI Stealth 18 AI Studio A1VHG-058VN,93990000.0,NVIDIA GeForce RTX 4080,Intel Core Ultra 9185H,32.0,2048.0,18.0
Laptop AI Dell XPS13 9340 - HXRGT,56090000.0,Intel Arc Graphics,Intel Core Ultra 7155H,16.0,1024.0,13.4
Laptop gaming MSI Stealth 18 AI Studio A1VGG-008VN,75990000.0,NVIDIA GeForce RTX 4070,Intel Core Ultra 9185H,32.0,2048.0,18.0
Laptop MSI Stealth 16 Mercedes AMG Motorsport A1VGG-293VN,70990000.0,NVIDIA GeForce RTX 4070,Intel Core Ultra 9185H,32.0,2048.0,16.0
Laptop gaming MSI Stealth 14 AI Studio A1VFG-085VN,49490000.0,NVIDIA GeForce RTX 4060,Intel Core Ultra 7155H,32.0,1024.0,14.0
Laptop AI HP Envy x360 14-fc0090TU - A19C0PA,31090000.0,Intel Arc Graphics,Intel Core Ultra 7155U,16.0,512.0,14.0
Laptop AI HP Spectre x360 14-eu0051TU - A2NL3PA,51590000.0,Intel Arc Graphics,Intel Core Ultra 7155H,16.0,1024.0,14.0
Laptop AI ACER Predator Helios Neo 14 PHN14-51-99Y8,47690000.0,NVIDIA GeForce RTX 4060,Intel Core Ultra 9185H,32.0,1024.0,14.5
Laptop ACER Predator Helios Neo 14 PHN14-51-96HG,58490000.0,NVIDIA GeForce RTX 4070,Intel Core Ultra 9185H,32.0,1024.0,14.5
Laptop MSI Katana A15 AI B8VG-466VN,39990000.0,NVIDIA GeForce RTX 4070,AMD Ryzen 9 8945HS,16.0,1024.0,15.6
Laptop AI HP Envy x360 14-fa0049AU - A19BRPA,27790000.0,AMD Radeon 760M,AMD Ryzen 5 8640HS,16.0,1024.0,14.0
Laptop gaming HP Victus 16-s0136AX - 9Q984PA,26390000.0,NVIDIA GeForce RTX 3050,AMD Ryzen 5 7640HS,32.0,512.0,16.1
Laptop AI HP Envy x360 14-fc0093TU - A19C3PA,27390000.0,Intel Arc Graphics,Intel Core Ultra 5125U,16.0,512.0,14.0
Laptop AI HP 15s 15-fd1058TU - 9Z2X6PA,24590000.0,Intel Arc Graphics,Intel Core Ultra 7155H,16.0,1024.0,15.6
Laptop AI HP Envy x360 14-fa0046AU - A19BNPA,30890000.0,AMD Radeon 780M,AMD Ryzen 7 8840HS,32.0,512.0,14.0
Laptop AI HP Envy x360 14-fa0045AU - A19BMPA,32590000.0,AMD Radeon 780M,AMD Ryzen 7 8840HS,32.0,1024.0,14.0
Laptop AI HP Envy x360 14-fc0088TU - A19BYPA,33790000.0,Intel Arc Graphics,Intel Core Ultra 7155U,16.0,1024.0,14.0
Laptop gaming MSI Stealth 18 AI Studio A1VHG-025VN,94990000.0,NVIDIA GeForce RTX 4080,Intel Core Ultra 9185H,32.0,2048.0,18.0
Laptop MSI Pulse 16 AI C1VGKG-061VN,52990000.0,NVIDIA GeForce RTX 4070,Intel Core Ultra 9185H,32.0,1024.0,16.0
Laptop AI ASUS Zenbook S 13 OLED UX5304MA-NQ117W,42390000.0,Intel Arc Graphics,Intel Core Ultra 7155U,32.0,1024.0,13.3
Laptop AI Dell XPS 9340 - XPSU5002W1,55990000.0,Intel Arc Graphics,Intel Core Ultra 5125H,16.0,2048.0,13.4
Laptop ACER Swift Go AI 14 Gen 2 SFG14-73-71ZX,24749000.0,Intel Arc Graphics,Intel Core Ultra 7155H,16.0,512.0,14.0
Laptop Asus Zenbook DUO OLED UX8406MA-PZ307W,46990000.0,Intel Arc Graphics,Intel Core Ultra 7155H,16.0,512.0,14.0
Laptop MSI Prestige 13 AI Evo A1MG-062VN,30990000.0,Intel Arc Graphics,Intel Core Ultra 7155H,32.0,1024.0,13.3
Laptop AI HP Victus 16-s0140AX - 9Q987PA,31190000.0,NVIDIA GeForce RTX 4050,AMD Ryzen 7 7840HS,32.0,512.0,16.1
Laptop AI ASUS Zenbook 14 OLED - UX3405MA-PP152W,31290000.0,Intel Arc Graphics,Intel Core Ultra 7155H,32.0,1024.0,14.0
Laptop AI ASUS Zenbook 14 OLED - UX3405MA-PP588W,25990000.0,Intel Arc Graphics,Intel Core Ultra 5125H,16.0,512.0,14.0
Laptop gaming MSI Cyborg 15 AI A1VEK-053VN,29090000.0,NVIDIA GeForce RTX 4050,Intel Core Ultra 7155H,16.0,512.0,15.6
Laptop AI HP Victus 16-s0077AX,24590000.0,NVIDIA GeForce RTX 3050,AMD Ryzen 7 7840HS,16.0,512.0,16.1
Laptop AI ASUS Zenbook 14 OLED UX3405MA-PP151W,25990000.0,Intel Arc Graphics,Intel Core Ultra 5125H,16.0,512.0,14.0
Laptop AI HP Victus 16-s0078AX - 8C5N7PA,22990000.0,NVIDIA GeForce RTX 3050,AMD Ryzen 5 7640HS,16.0,512.0,16.1
Laptop MSI GF63 Thin 12VE-460VN,17990000.0,NVIDIA GeForce RTX 4050,Intel Core i512450H,8.0,512.0,15.6
MacBook Pro 14 inch M3 2023,38190000.0,,Apple M3,8.0,512.0,14.0
Laptop Lenovo LOQ 15ARP9 - 83JC007HVN,20990000.0,NVIDIA GeForce RTX 3050,AMD Ryzen 5 7235HS,12.0,512.0,15.6
Laptop gaming MSI Cyborg 14 A13VE - 090VN,27990000.0,NVIDIA GeForce RTX 4050,Intel Core i713620H,16.0,512.0,14.0
Laptop MSI Thin 15 B12UCX-1419VN,15490000.0,NVIDIA GeForce RTX 2050,Intel Core i512450H,8.0,512.0,15.6
Laptop ACER Nitro 5 Tiger AN515-58-773Y,23290000.0,NVIDIA GeForce RTX 3050Ti,Intel Core i712700H,16.0,512.0,15.6
Laptop gaming GIGABYTE G5 ME,16990000.0,NVIDIA GeForce RTX 3050Ti,Intel Core i512500H,8.0,512.0,15.6
Laptop ASUS TUF Gaming A15 FA506NC-HN031W,19490000.0,NVIDIA GeForce RTX 3050,AMD Ryzen 5 7535HS,16.0,1024.0,15.6
Laptop ASUS Tuf Gaming F15 FX506HF-HN078W,16990000.0,NVIDIA GeForce RTX 2050,Intel Core i511260H,16.0,512.0,15.6
Laptop ASUS ROG Strix G16 G614JU-N4132W,36990000.0,NVIDIA GeForce RTX 4050,Intel Core i713650HX,16.0,512.0,16.0
Laptop ACER Predator Helios Neo 16 PHN16-71-53M7,27990000.0,NVIDIA GeForce RTX 4060,Intel Core i513500HX,16.0,512.0,16.0
Laptop ACER Swift 3 SF314-512-56QN,17990000.0,Intel Iris Xe Graphics,Intel Core i51240P,16.0,512.0,14.0
Laptop gaming ACER Nitro V 15 ProPanel ANV15-41-R7AP,20990000.0,NVIDIA GeForce RTX 2050,AMD Ryzen 5 7535HS,16.0,512.0,15.6
Laptop Gaming ACER Nitro V ANV15-51-58AN,18490000.0,NVIDIA GeForce RTX 2050,Intel Core i513420H,8.0,512.0,15.6
Laptop gaming Acer Nitro 5 Tiger AN515-58-52SP,19990000.0,NVIDIA GeForce RTX 3050,Intel Core i512500H,8.0,512.0,15.6
Laptop ACER Nitro 16 Phoenix AN16-41-R5M4,23990000.0,NVIDIA GeForce RTX 4050,AMD Ryzen 5 7535HS,8.0,512.0,16.0
Laptop gaming ACER Nitro V ANV15-51-75GS,23990000.0,NVIDIA GeForce RTX 4050,Intel Core i713620H,16.0,512.0,15.6
Laptop ACER Aspire 5 A515-58M-56YX,14990000.0,Intel UHD Graphics,Intel Core i513420H,16.0,512.0,15.6
Laptop Dell Inspiron 16 5630 - H6KRV,24990000.0,NVIDIA GeForce RTX 2050,Intel Core i51340P,16.0,512.0,16.0
Laptop Dell Inspiron 15 3530,16490000.0,Intel UHD Graphics,Intel Core i51334U,8.0,512.0,15.6
Laptop HP ProBook 440 G10 - 9H8U7PT,22490000.0,Intel Iris Xe Graphics,Intel Core i51340P,16.0,512.0,14.0
Laptop ASUS TUF Gaming F15 FX507VV-LP304W,30990000.0,NVIDIA GeForce RTX 4060,Intel Core i713620H,16.0,1024.0,15.6
Laptop ASUS Vivobook 15 OLED A1505VA-MA468W,19990000.0,Intel Iris Xe Graphics,Intel Core i513500H,16.0,512.0,15.6
Laptop MSI Thin 15 B13UCX-2080VN,17990000.0,NVIDIA GeForce RTX 2050,Intel Core i513420H,16.0,512.0,15.6
Laptop ASUS TUF Gaming A15 FA507NVR-LP091W,27990000.0,NVIDIA GeForce RTX 4060,AMD Ryzen 7 7435HS,16.0,512.0,15.6
Laptop ASUS TUF Gaming F15 FX507VU-LP315W,27990000.0,NVIDIA GeForce RTX 4050,Intel Core i713620H,16.0,512.0,15.6
Laptop Lenovo ThinkPad E16 G1 T - 21JN006GVN,24390000.0,Intel Iris Xe Graphics,Intel Core i71355U,16.0,512.0,16.0
Laptop ASUS TUF Gaming A15 FA507NUR-LP101W,26490000.0,NVIDIA GeForce RTX 4050,AMD Ryzen 7 7435HS,16.0,512.0,15.6
Laptop ASUS ExpertBook B1 B1402CBA-EB4202W,12990000.0,Intel UHD Graphics,Intel Core i51235U,16.0,512.0,14.0
Laptop LG Gram 2024 15Z90ST-G.AH75A5,45490000.0,Intel Arc Graphics,Intel Core Ultra 7155H,16.0,512.0,15.6
Laptop LG Gram 16Z90SP-K.AH75A5,49990000.0,Intel Arc Graphics,Intel Core Ultra 7155H,16.0,512.0,16.0
Laptop HP 15-fd0306TU - A2NL7PA,11790000.0,Intel Iris Xe Graphics,Intel Core i31315U,8.0,256.0,15.6
Laptop Lenovo ThinkPad E14 Gen 5 - 21JK00H5VN,19990000.0,Intel UHD Graphics,Intel Core i513420H,16.0,512.0,14.0
Laptop ASUS Gaming VivoBook K3605ZF-RP634W,17490000.0,NVIDIA GeForce RTX 2050,Intel Core i512500H,16.0,512.0,16.0
Laptop AI HP 15-fd1045TU - 9Z2X1PA,17490000.0,Intel Iris Xe Graphics,Intel Core 5 120U,16.0,512.0,15.6
Laptop Dell Inspiron 15 3530 N3530-i5U165W11SLU,17990000.0,Intel UHD Graphics,Intel Core i51334U,16.0,512.0,15.6
Laptop ASUS Gaming Vivobook 16X K3605ZC-RP564W,19490000.0,NVIDIA GeForce RTX 3050,Intel Core i512500H,16.0,512.0,16.0
Laptop ASUS ROG Strix G16 G614JIR-N4046W,53990000.0,NVIDIA GeForce RTX 4070,Intel Core i914900HX,32.0,1024.0,16.0
Laptop ASUS ROG Strix G614JVR-N4162W,47990000.0,NVIDIA GeForce RTX 4060,Intel Core i914900HX,32.0,1024.0,16.0
Laptop gaming HP Victus 16-r0128TX - 8C5N3PA,25990000.0,NVIDIA GeForce RTX 4050,Intel Core i513450HX,16.0,512.0,16.1
Laptop gaming HP Victus 16-r0216TX - 9Q973PA,28990000.0,NVIDIA GeForce RTX 3050,Intel Core i513500H,32.0,512.0,16.1
Laptop Dell Inspiron 5640 - N6I5419W1,22990000.0,Intel Iris Xe Graphics,Intel Core i51334U,16.0,512.0,16.0
Laptop AI HP 15-fd1043TU - 9Z2W9PA,18790000.0,Intel Iris Xe Graphics,Intel Core 5 120U,16.0,1024.0,15.6
Laptop HP ProBook 440 G10 - 873B2PA,20690000.0,Intel Iris Xe Graphics,Intel Core i51340P,16.0,512.0,14.0
Laptop AI HP Pavilion X360 14-ek2013TU - 9Z2V4PA,25990000.0,Intel Iris Xe Graphics,Intel Core 7 150U,16.0,512.0,14.0
Laptop Dell Latitude 3440,16990000.0,Intel Iris Xe Graphics,Intel Core i51235U,16.0,512.0,14.0
Laptop gaming HP Victus 16-r0231TX - 9Q982PA,29390000.0,NVIDIA GeForce RTX 3050,Intel Core i513500H,32.0,512.0,16.1
Laptop ACER Aspire 5 Spin 14 A5SP14-51MTN-573X,14990000.0,Intel Iris Xe Graphics,Intel Core i51335U,16.0,512.0,14.0
Laptop ACER Gaming Aspire 5 A515-58GM-53PZ,15490000.0,NVIDIA GeForce RTX 2050,Intel Core i513420H,8.0,512.0,15.6
Laptop AI HP 14-ep1011TU - 9Z2W3PA,18290000.0,Intel Iris Xe Graphics,Intel Core 5 120U,16.0,512.0,14.0
Laptop gaming ASUS TUF Gaming F15 - FX507ZC4-HN095W,20990000.0,NVIDIA GeForce RTX 3050,Intel Core i512500H,16.0,512.0,15.6
Laptop ASUS Vivobook 15X OLED M3504YA-L1332W,15990000.0,AMD Radeon Graphics,AMD Ryzen 7 7730U,16.0,512.0,15.6
Laptop AI HP Pavilion X360 14-ek2024TU - 9Z2V6PA,23890000.0,Intel Iris Xe Graphics,Intel Core 5 120U,16.0,512.0,14.0
Laptop HP 14-ep1007TU - 9Z2W1PA,21490000.0,Intel Iris Xe Graphics,Intel Core 7 150U,16.0,512.0,14.0
Laptop ACER Gaming Aspire 5 A515-58GM-598J,18490000.0,NVIDIA GeForce RTX 2050,Intel Core i513420H,16.0,512.0,15.6
Laptop HP ProBook 440 G10 - 873C1PA,25190000.0,Intel Iris Xe Graphics,Intel Core i71360P,16.0,512.0,14.0
Laptop Dell Inspiron 15 3520 - 25P2312,16490000.0,Intel Iris Xe Graphics,Intel Core i51235U,16.0,512.0,15.6
Laptop gaming HP Victus 16-r0225TX - 9Q976PA,35390000.0,NVIDIA GeForce RTX 4050,Intel Core i713700H,32.0,512.0,16.1
Laptop AI HP 15-fd1037TU - 9Z2W5PA,22490000.0,Intel Iris Xe Graphics,Intel Core 7 150U,16.0,1024.0,15.6
Laptop gaming HP Victus 16-r0215TX - 9Q9B8PA,31190000.0,NVIDIA GeForce RTX 3050,Intel Core i713700H,32.0,512.0,16.1
Laptop gaming HP Victus 16-r0223TX - 9Q974PA,44490000.0,NVIDIA GeForce RTX 4070,Intel Core i713700H,32.0,512.0,16.1
Laptop gaming Lenovo LOQ 15ARP9 - 83JC007JVN,24490000.0,NVIDIA GeForce RTX 3050,AMD Ryzen 5 7235HS,24.0,512.0,15.6
Laptop ASUS Vivobook 14X OLED A1405ZA-KM264W,16690000.0,Intel Iris Xe Graphics,Intel Core i512500H,16.0,512.0,14.0
Laptop ASUS VivoBook 15 OLED A1505VA-MA492W,20990000.0,Intel Iris Xe Graphics,Intel Core i713700H,16.0,512.0,15.6
Laptop ASUS VivoBook 15 OLED A1505VA-MA469W,22490000.0,Intel Iris Xe Graphics,Intel Core i913900H,16.0,512.0,15.6
Laptop Lenovo ThinkBook 14 G6 IRL - 21KG00RDVN,16990000.0,Intel UHD Graphics,Intel Core i513420H,16.0,512.0,14.0
Laptop Lenovo ThinkBook 14 G6 IRL - 21KG00BQVN,20990000.0,Intel Iris Xe Graphics,Intel Core i71355U,16.0,512.0,14.0
Laptop gaming Lenovo LOQ 15IAX9 - 83GS001SVN,18990000.0,NVIDIA GeForce RTX 2050,Intel Core i512450HX,12.0,512.0,15.6
Laptop gaming MSI Cyborg 15 A13VFK-876VN,28590000.0,NVIDIA GeForce RTX 4060,Intel Core i713620H,16.0,512.0,15.6
Laptop Lenovo Ideapad Slim 3 15ABR8 - 82XM00EJVN,12490000.0,AMD Radeon Graphics,AMD Ryzen 5 7430U,16.0,512.0,15.6
Laptop gaming Lenovo LOQ 15IAX9 - 83GS004BVN,21990000.0,NVIDIA GeForce RTX 3050,Intel Core i512450HX,12.0,512.0,15.6
Laptop ASUS ROG Strix G16 G614JV-N4156W,38990000.0,NVIDIA GeForce RTX 4060,Intel Core i713650HX,16.0,512.0,16.0
Laptop Dell Inspiron 14 5440 - 71034769,22990000.0,Intel Iris Xe Graphics,Intel Core 5 120U,16.0,1024.0,14.0
Laptop Dell Inspiron 14 5440 - 71034770,28490000.0,NVIDIA GeForce MX570A,Intel Core 7 150U,16.0,1024.0,14.0
Laptop gaming ACER Nitro V ANV15-51-91T5,31490000.0,NVIDIA GeForce RTX 4060,Intel Core i913900H,16.0,512.0,15.6
Laptop gaming ACER Nitro V ANV15-51-53NE,19990000.0,NVIDIA GeForce RTX 2050,Intel Core i513420H,16.0,512.0,15.6
Laptop Dell Inspiron 3530 - N5I5489W1,20590000.0,NVIDIA GeForce MX550,Intel Core i51335U,16.0,512.0,15.6
Laptop Dell Inspiron 5440 G14 - N4I5211W1,23490000.0,Intel Iris Xe Graphics,Intel Core 5 120U,16.0,512.0,14.0
Laptop Dell Inspiron 5440 G14 - N4I7204W1,23990000.0,Intel Iris Xe Graphics,Intel Core 7 150U,16.0,512.0,14.0
Laptop Lenovo LOQ 15IRX9 - 83DV00D5VN,29690000.0,NVIDIA GeForce RTX 4050,Intel Core i713650HX,16.0,512.0,15.6
Laptop ACER Aspire Lite - AL14-51M-59BN,13790000.0,Intel UHD Graphics,Intel Core i51235U,16.0,512.0,14.0
Laptop Dell Inspiron 14 5440 - N5440-C5U165W11IBD2,24690000.0,NVIDIA GeForce MX570A,Intel Core 5 120U,16.0,512.0,14.0
Laptop Dell Inspiron 16 5640 - N5640-C7U161W11IBU,25990000.0,Intel UHD Graphics,Intel Core 7 150U,16.0,1024.0,16.0
Laptop gaming ASUS TUF Gaming A15 FA506NF-HN005W,15190000.0,NVIDIA GeForce RTX 2050,AMD Ryzen 5 7535HS,8.0,512.0,15.6
Laptop gaming MSI Cyborg 15 A13UC-861VN,19990000.0,NVIDIA GeForce RTX 3050,Intel Core i513420H,16.0,512.0,15.6
Laptop gaming MSI Cyborg 15 A12UCX - 618VN,16290000.0,NVIDIA GeForce RTX 2050,Intel Core i512450H,16.0,512.0,15.6
Laptop gaming ASUS TUF Gaming A15 FA507NU-LP070W,27990000.0,NVIDIA GeForce RTX 4050,AMD Ryzen 7 7735HS,16.0,1024.0,15.6
Laptop gaming ASUS TUF Gaming F15 FX507VI-LP088W,34990000.0,NVIDIA GeForce RTX 4070,Intel Core i713620H,16.0,512.0,15.6
Laptop Lenovo IdeaPad Slim 3 15IAH8 - 83ER000FVN,15590000.0,Intel UHD Graphics,Intel Core i512450H,16.0,1024.0,15.6
Laptop Lenovo Ideapad Slim 3 15IRH8 - 83EM003EVN,16990000.0,Intel UHD Graphics,Intel Core i713620H,16.0,512.0,15.6
Laptop HP ProBook 440 G10 - 9H8U9PT,24990000.0,Intel UHD Graphics,Intel Core i71355U,16.0,512.0,14.0
Laptop HP 15-fd0235TU - 9Q970PA,17090000.0,Intel UHD Graphics,Intel Core i51334U,16.0,512.0,15.6
Laptop gaming Lenovo LOQ 15IAX9 - 83GS001RVN,21690000.0,NVIDIA GeForce RTX 3050,Intel Core i512450HX,12.0,512.0,15.6
Laptop gaming ASUS TUF Gaming A15 FA507NV-LP111W,26490000.0,NVIDIA GeForce RTX 4060,AMD Ryzen 5 7535HS,16.0,1024.0,15.6
Laptop gaming HP Victus 16-r0228TX - 9Q979PA,29690000.0,NVIDIA GeForce RTX 4050,Intel Core i513500H,32.0,512.0,16.1
Laptop gaming HP Victus 16-r0229TX - 9Q980PA,30890000.0,NVIDIA GeForce RTX 4050,Intel Core i513500H,32.0,512.0,16.1
Laptop gaming Lenovo LOQ 15IAX9 - 83GS000RVN,25990000.0,NVIDIA GeForce RTX 4050,Intel Core i512450HX,16.0,512.0,15.6
Laptop ASUS Vivobook X14 - X1404ZA-NK389W,15990000.0,Intel Iris Xe Graphics,Intel Core i71255U,16.0,512.0,14.0
Laptop MSI Sword 16 HX B14VFKG-045VN,36990000.0,NVIDIA GeForce RTX 4060,Intel Core i714700HX,16.0,1024.0,16.0
Laptop HP EliteBook 640 G10,21690000.0,Intel Iris Xe Graphics,Intel Core i51335U,16.0,512.0,14.0
Laptop ACER Aspire Lite - AL15-51M-75E2,14490000.0,Intel Iris Xe Graphics,Intel Core i71165G7,16.0,512.0,15.6
Laptop ASUS Vivobook 15X OLED S3504VA-L1227WS,22690000.0,Intel Iris Xe Graphics,Intel Core i71360P,16.0,512.0,15.6
Laptop gaming ASUS TUF Gaming F15 FX507VV-LP157W,32990000.0,NVIDIA GeForce RTX 4060,Intel Core i713620H,16.0,512.0,15.6
Laptop gaming ASUS TUF Gaming A15 FA507NU-LP131W,25990000.0,NVIDIA GeForce RTX 4050,AMD Ryzen 5 7535HS,16.0,1024.0,15.6
Laptop gaming HP Victus 15-fa1139TX - 8Y6W3PA,18990000.0,NVIDIA GeForce RTX 2050,Intel Core i512450H,16.0,512.0,15.6
Laptop MSI GP68HX 13VH-252VN,61990000.0,NVIDIA GeForce RTX 4080,Intel Core i913950HX,16.0,1024.0,16.0
Laptop MSI Vector GP78 HX 13VI-476VN,89990000.0,NVIDIA GeForce RTX 4090,Intel Core i913980HX,32.0,2048.0,17.0
Laptop HP ProBook 450 G10 - 873J6PA,19490000.0,Intel UHD Graphics,Intel Core i51340P,8.0,512.0,15.6
Laptop Acer Aspire 5 A515-58GM-59LJ,16990000.0,NVIDIA GeForce RTX 2050,Intel Core i513420H,8.0,512.0,15.6
Laptop gaming HP Victus 15-fb1022AX - 94F19PA,18490000.0,NVIDIA GeForce RTX 2050,AMD Ryzen 5 7535HS,16.0,512.0,15.6
Laptop Acer Swift Go SFG14-71-513F,17990000.0,Intel Iris Xe Graphics,Intel Core i513500H,16.0,512.0,14.0
Laptop Acer Swift Go SFG14-71-74CP,19990000.0,Intel Iris Xe Graphics,Intel Core i713700H,16.0,512.0,14.0
Laptop HP 15s-fq5228TU - 8U240PA,10790000.0,Intel UHD Graphics,Intel Core i31215U,8.0,512.0,15.6
Laptop ACER Aspire 5 A514-56P-55K5,14790000.0,Intel UHD Graphics,Intel Core i51335U,16.0,512.0,14.0
Laptop ACER Aspire 7 A715-76-53PJ,14490000.0,Intel UHD Graphics,Intel Core i512450H,16.0,512.0,15.6
Laptop ACER Aspire 5 A515-58P-774R,15990000.0,Intel UHD Graphics,Intel Core i71355U,16.0,512.0,15.6
