Laptop_name,Price(VND),GPU,CPU,RAM(GB),Storage(GB),Screen_size(inches)
 Laptop ASUS ExpertBook B1402CVA-NK0157W ,15990000.0,INTEL UHD Graphics,Intel Core i7 1355U,8.0,512.0,14.0
 Laptop ASUS Vivobook S 14 OLED S5406MA-PP198WS ,26890000.0,INTEL Arc Graphics,Intel Core Ultra 7 155H,16.0,512.0,14.0
 Laptop ASUS TUF Gaming A15 FA506NCR-HN047W ,20990000.0,NVIDIA GeForce RTX 3050,AMD Ryzen 7 7435HS,16.0,512.0,15.6
 Laptop ASUS TUF Gaming A16 Advantage Edition FA617NSR-RL100W ,25490000.0,AMD Radeon RX 7600S,AMD Ryzen 7 7435HS,16.0,512.0,16.0
 Laptop ASUS Zenbook DUO UX8406MA-PZ307W  ,45990000.0,INTEL Arc Graphics,Intel Core Ultra 7 155H,16.0,512.0,14.0
 Laptop ASUS TUF Gaming A15 FA507NV-LP061W ,28990000.0,NVIDIA GeForce RTX 4060,AMD Ryzen 7 7735HS,16.0,1000.0,15.6
 Laptop ASUS ROG Strix G16 G614JVR-N4162W ,45990000.0,NVIDIA GeForce RTX 4060,Intel Core i9 14900HX,32.0,1000.0,16.0
 Laptop ASUS VivoBook S 14 OLED S5406MA-PP136W  ,24390000.0,INTEL Arc Graphics,Intel Core Ultra 5 125H,16.0,1000.0,14.0
 Laptop ASUS TUF Gaming A14 FA401WV-RG062WS ,42990000.0,NVIDIA GeForce RTX 4060,AMD Ryzen AI 9 HX 370,16.0,1000.0,14.0
 Laptop ASUS TUF Gaming A15 FA507NVR-LP091W ,26990000.0,NVIDIA GeForce RTX 4060,AMD Ryzen 7 7435HS,16.0,512.0,15.6
 Laptop ASUS ExpertBook B1 B1402CVA-NK0149W ,12490000.0,INTEL UHD Graphics,Intel Core i5 1335U,8.0,256.0,14.0
 Laptop ASUS TUF Gaming F15 FX507VU-LP315W ,27990000.0,NVIDIA GeForce RTX 4050,Intel Core i7 13620H,16.0,512.0,15.6
 Laptop ASUS VivoBook 15 X1504VA-NJ070W ,15790000.0,INTEL Iris Xe Graphics,Intel Core i5 1335U,16.0,512.0,15.6
 Laptop ASUS ROG Strix G16 G614JU-N4132W ,35990000.0,NVIDIA GeForce RTX 4050,Intel Core i7 13650HX,16.0,512.0,16.0
 Laptop ASUS TUF Gaming F15 FX507VV-LP157W ,28790000.0,NVIDIA GeForce RTX 4060,Intel Core i7 13620H,16.0,512.0,15.6
 Laptop ASUS Vivobook S 14 OLED S5406MA-PP046WS ,24390000.0,INTEL Arc Graphics,Intel Core Ultra 5 125H,16.0,512.0,14.0
 Laptop ASUS TUF Gaming A15 FA506NFR-HN075W ,18990000.0,NVIDIA GeForce RTX 2050,AMD Ryzen 7 7435HS,16.0,512.0,15.6
 Laptop ASUS Gaming ROG Zephyrus G16 GU603VU-N4019W  ,38690000.0,NVIDIA GeForce RTX 4050,Intel Core i7 13620H,16.0,512.0,16.0
