Product name,Price,Brand,CPU Model,RAM size,Storage,Screen size,Battery,CPU Cache Size,CPU Cores,CPU Frequency,NPU,GPU,RAM frequency,RAM slots,RAM type,Audio,Webcam,OS,Ports,Size,Weight,Material,Color,Wireless connection,Keyboard,LED,Security,box,Series laptop,Part-number,Warranty,Refresh rate,Display Resolution,Screen Brightness ,Usage category
Laptop ACER Swift Go 14 AI SFG14-73-53X7,22790000.0,ACER,Intel Core Ultra 5125H,16.0,512.0,14.0,65.0,18MB,14.0,3.6 GHz,Intel AI Boost NPU,Intel Arc Graphics,6400MHz,1.0,LPDDR5,Acer TrueHarmony Technology,QHD,Windows 11 Home SL,"2 x USB 3.2
2 x Thunderbolt 4
1 x micro SD card slot
Audio combo
1 x HDMI",312.9 x 217.9 x 14.9 mm,1.3 kg,Vỏ nhôm,Bạc,"Wi-Fi 7 BE , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , LED",không đèn,Vân tay,Cáp + Sạc,Swift Go,NX.KSLSV.001,12 tháng,120.0,2880 x 1800,400.0,basic
Laptop ACER Nitro V 16 ProPanel ANV16-41-R36Y,30590000.0,ACER,AMD Ryzen 7 8845HS,16.0,512.0,16.0,57.0,16MB,8.0,3.8 GHz,AMD XDNA 16 TOPS,NVIDIA GeForce RTX 4050,5600MHz,2.0,DDR5,,HD,Windows 11 Home SL,"1 x USB Type C / DisplayPort
2 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s",361.8 (W) x 278.4 (D) x 24.74/25.46 (H) mm,2.5 kg,Vỏ nhựa,Đen,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Có phím Copilot , có phím số , LED",không đèn,,"Adapter, dây nguồn, HDSD,…",Nitro V,NH.QP1SV.004,12 tháng,165.0,1920 x 1200,300.0,Gaming
Laptop Lenovo Legion 5 15IRX9 - 83JJ000FVN,37990000.0,Lenovo,Intel Core i713650HX,24.0,512.0,15.6,60.0,24MB,14.0,2.6 GHz,,NVIDIA GeForce RTX 4060,4800MHz,2.0,DDR5,Nahimic Audio,HD,Windows 11 Home SL,"2 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s",358.8 x 261.4 x 20.5-24.65 mm,2.3 kg,Vỏ nhôm,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , LED",không đèn,,,Legion,83JJ000FVN,24 tháng,144.0,1920 x 1080,300.0,Gaming
Laptop gaming Lenovo Legion Pro 5 16IRX9 - 83DF0046VN,52990000.0,Lenovo,Intel Core i914900HX,32.0,1024.0,16.0,,36MB,24.0,2.2 GHz,,NVIDIA GeForce RTX 4070,5600MHz,2.0,DDR5,Nahimic Audio,FHD,Windows 11 Home,"2 x USB Type C / DisplayPort / Power Delivery
4 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s",363.4 x 261.75 x 21.99-26.95 mm,2.5 kg,Vỏ nhôm,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , RGB 4 vùng",,,"Adapter, dây nguồn",Legion,83DF0046VN,24 tháng,240.0,2560 x 1600,500.0,Gaming
Laptop gaming Lenovo Legion 5 16IRX9 - 83DG004YVN,40990000.0,Lenovo,Intel Core i714650HX,16.0,512.0,16.0,,30MB,16.0,2.2 GHz,,NVIDIA GeForce RTX 4060,5600MHz,1.0,DDR5,Nahimic Audio,FHD,Windows 11 Home,"2 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s",359.7 x 262.3 x 19.7-25.2 mm,2.3 kg,Vỏ nhôm,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím Chiclet với phím Copilot , có phím số , RGB 4 vùng",,,"Adapter, dây nguồn",Legion,83DG004YVN,24 tháng,165.0,2560 x 1600,350.0,Gaming
Laptop AI Lenovo Yoga Book 9 13IMU9 - 83FF001SVN,61490000.0,Lenovo,Intel Core Ultra 7155U,32.0,1024.0,13.3,80.0,12MB,12.0,1.7 GHz,"Intel AI Boost, up to 11 TOPS",Intel Arc Graphics,,1.0,LPDDR5,Dolby Atmos,HD,Windows 11 Home SL + Office Home & Student 2021,"3 x Thunderbolt 4
Audio combo",299.1 x 203.9 x 15.95 mm,1.3 kg,Vỏ nhôm,Xanh,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , không đèn",,Khuôn mặt,Lenovo Digital Pen 3,Yoga,83FF001SVN,24 tháng,,2880 x 1800,400.0,Gaming
Máy tính xách tay/ Laptop Lenovo IdeaPad Slim 5 14IMH9 - 83DA001NVN,21490000.0,Lenovo,Intel Core Ultra 5125H,16.0,512.0,14.0,57.0,18MB,14.0,3.6 GHz,"Intel AI Boost, up to 11 TOPS",Intel Arc Graphics,,1.0,LPDDR5,Dolby Atmos,FHD,Windows 11 Home SL,"2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x micro SD card slot
Audio combo
1 x HDMI",312 x 221 x 16.9 mm,1.5 kg,Vỏ nhôm,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím Chiclet với phím Copilot , không phím số , LED",không đèn,Khuôn mặt,,Ideapad,83DA001NVN,24 tháng,,1920 x 1200,400.0,basic
Laptop Lenovo Yoga 9 2in1-14IMH9 - 83AC000SVN,43990000.0,Lenovo,Intel Core Ultra 7155H,16.0,1024.0,14.0,75.0,24MB,16.0,3.8 GHz,Intel AI Boost NPU,Intel Arc Graphics,,1.0,LPDDR5,Dolby Atmos,,Windows 11 Home SL + Office Home & Student 2021,"1 x USB Type C / DisplayPort / Power Delivery
1 x USB 3.2
2 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s",316 x 220 x 15.9 mm,1.3 kg,Vỏ nhôm,Xanh,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , LED",,Khuôn mặt,,Yoga,83AC000SVN,24 tháng,120.0,2880 x 1800,400.0,basic
Laptop Yoga Slim 7 14IMH9 - 83CV001VVN,30990000.0,Lenovo,Intel Core Ultra 7155H,32.0,1024.0,14.0,65.0,24MB,16.0,3.8 GHz,"Intel AI Boost, up to 11 TOPS",Intel Arc Graphics,,1.0,LPDDR5,Dolby Atmos,FHD,Windows 11 Home SL + Office Home & Student 2021,"1 x USB 3.2
2 x Thunderbolt 4
Audio combo
1 x HDMI",312 x 221 x 14.9 mm,1.4 kg,Vỏ nhôm,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , LED",,Khuôn mặt,,Yoga,83CV001VVN,24 tháng,,1920 x 1200,400.0,basic
Laptop Lenovo Yoga Slim 7 14IMH9 - 83CV001UVN,30490000.0,Lenovo,Intel Core Ultra 7155H,32.0,512.0,14.0,65.0,24MB,16.0,3.8 GHz,"Intel AI Boost, up to 11 TOPS",Intel Arc Graphics,,1.0,LPDDR5,Dolby Atmos,FHD,Windows 11 Home SL + Office Home & Student 2021,"1 x USB 3.2
2 x Thunderbolt 4
Audio combo
1 x HDMI",312 x 221 x 14.9 mm,1.4 kg,Vỏ nhôm,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , LED",,Khuôn mặt,,Yoga,83CV001UVN,24 tháng,,1920 x 1200,400.0,basic
Laptop MSI Modern 14 C13M - 609VN,12990000.0,MSI,Intel Core i51335U,8.0,512.0,14.0,39.0,12MB,10.0,1.3 GHz,,Intel Iris Xe Graphics,3200MHz,1.0,DDR4,,HD,Windows 11 Home,"1 x USB Type C / DisplayPort / Power Delivery
1 x USB 3.2
2 x USB 2.0
1 x micro SD card slot
Audio combo
1 x HDMI",319.9 x 223 x 19.35 mm,1.4 kg,,Bạc,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , không phím số , LED",không đèn,,,Modern Series,609VN,24 tháng,,1920 x 1080,,basic
Laptop MSI Modern 14 C13M - 611VN,13990000.0,MSI,Intel Core i51335U,16.0,512.0,14.0,39.0,12MB,10.0,1.3 GHz,,Intel Iris Xe Graphics,3200MHz,1.0,DDR4,,HD,Windows 11 Home,"1 x USB Type C / DisplayPort / Power Delivery
1 x USB 3.2
2 x USB 2.0
1 x micro SD card slot
Audio combo
1 x HDMI",319.9 x 223 x 19.35 mm,1.4 kg,,Bạc,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , không phím số , LED",không đèn,,,Modern Series,611VN,24 tháng,,1920 x 1080,,Gaming
Laptop Lenovo Yoga Slim 6 14IRH8 - 83E00008VN,24990000.0,Lenovo,Intel Core i713700H,16.0,512.0,14.0,57.0,24MB,14.0,2.4 GHz,,Intel Iris Xe Graphics,5200MHz,1.0,LPDDR5,Dolby Atmos,FHD,Windows 11 Home SL + Office Home & Student 2021,"1 x USB 3.2
2 x Thunderbolt 4
Audio combo
1 x HDMI",312 x 221 x 14.9 mm,1.4 kg,Vỏ nhôm,Xám đen,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.1","Bàn phím thường , không phím số , LED",không đèn,,Adapter,Yoga,83E00008VN,36 tháng,,1920 x 1200,400.0,basic
Laptop AI Lenovo Ideapad Slim 5 16IMH9 - 83DC001SVN,25490000.0,Lenovo,Intel Core Ultra 7155H,32.0,512.0,16.0,57.0,24MB,16.0,3.8 GHz,"Intel AI Boost, up to 11 TOPS",Intel Arc Graphics,7467MHz,1.0,LPDDR5,Dolby Atmos,FHD,Windows 11 Home SL,"2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x micro SD card slot
Audio combo
1 x HDMI",356 x 251 x 16.9 mm,1.9 kg,Vỏ nhôm,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím Chiclet với phím Copilot , có phím số , LED",,Khuôn mặt,,Ideapad,83DC001SVN,24 tháng,120.0,2048 x 1280,400.0,basic
Laptop AI Lenovo Ideapad Slim 5 16IMH9 - 83DC001RVN,21990000.0,Lenovo,Intel Core Ultra 5125H,16.0,512.0,16.0,57.0,18MB,14.0,3.6 GHz,"Intel AI Boost, up to 11 TOPS",Intel Arc Graphics,7467MHz,1.0,LPDDR5,Dolby Atmos,FHD,Windows 11 Home SL,"2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x micro SD card slot
Audio combo
1 x HDMI",356 x 251 x 16.9 mm,1.9 kg,Vỏ nhôm,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím Chiclet với phím Copilot , có phím số , LED",,Khuôn mặt,,Ideapad,83DC001RVN,24 tháng,120.0,2048 x 1280,400.0,basic
Laptop AI Lenovo IdeaPad Slim 5 14IMH9 - 83DA006TVN,21790000.0,Lenovo,Intel Core Ultra 5125H,16.0,1024.0,14.0,57.0,18MB,14.0,3.6 GHz,"Intel AI Boost, up to 11 TOPS",Intel Arc Graphics,7467MHz,1.0,LPDDR5,Dolby Atmos,FHD,"Windows 11 Home 64, English","2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x micro SD card slot
Audio combo
1 x HDMI",31.2 x 22.1 x 1.69 cm,1.5 kg,Vỏ nhôm,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím Chiclet với phím Copilot , không phím số , LED",,Khuôn mặt,Adapter,Ideapad,83DA006TVN,24 tháng,,1920 x 1200,400.0,basic
Laptop ASUS Gaming Vivobook K3605ZU-RP296W,23990000.0,ASUS,Intel Core i512500H,16.0,512.0,16.0,70.0,18MB,12.0,2.5 GHz,,NVIDIA GeForce RTX 4050,,1.0,DDR4,SonicMaster,HD,Windows 11 Home,"2 x USB 3.2
1 x Thunderbolt 4
1 x SD card slot
Audio combo
1 x HDMI",35.86 x 24.91 x 1.89 cm,1.8 kg,,Đen,"Wi-Fi 6E (802.11ax) , Bluetooth 5.3","Bàn phím Chiclet , có phím số , LED",,"Vân tay - - Cảm biến vân tay tích hợp với Touchpad , BIOS Booting User Password Protection, Trusted Platform Module (Firmware TPM)",,VivoBook,90NB11X1-M00HT0,24 tháng,144.0,1920 x 1200,300.0,Gaming
Laptop ASUS Vivobook Go 14 E1404FA-NK177W,12790000.0,ASUS,AMD Ryzen 5 7520U,16.0,512.0,14.0,42.0,4MB,4.0,2.8 GHz,,AMD Radeon 610M,5500MHz,1.0,LPDDR5,SonicMaster,HD,Windows 11 Home,"1 x USB Type C
1 x USB 3.2
1 x USB 2.0
Audio combo
1 x HDMI",32.45 x 21.39 x 1.79 cm,1.4 kg,,Bạc,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , không phím số",không đèn,Vân tay,,VivoBook,90NB0ZS1-M006L0,24 tháng,,1920 x 1080,,basic
Laptop ASUS Vivobook S 16 OLED S5606MA-MX051W,27990000.0,ASUS,Intel Core Ultra 7155H,16.0,512.0,16.0,75.0,24MB,16.0,3.8 GHz,Intel AI Boost NPU,Intel Arc Graphics,,1.0,LPDDR5,Smart Amp Technology,FHD,Windows 11 Home,"2 x USB 3.2
2 x Thunderbolt 4
1 x micro SD card slot
Audio combo
1 x HDMI",35.36 x 24.69 x 1.39 ~ 1.59 cm,1.5 kg,Vỏ nhôm,Xanh,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , có phím số , RGB",,Khuôn mặt,,VivoBook,90NB12E1-M002F0,24 tháng,120.0,3200 x 2000,600.0,basic
Laptop ASUS Vivobook 14X OLED A1405ZA-KM263W,18290000.0,ASUS,Intel Core i712700H,16.0,512.0,14.0,50.0,24MB,14.0,2.3 GHz,,Intel Iris Xe Graphics,,2.0,DDR4,SonicMaster,FHD,Windows 11 Home,"1 x USB Type C
2 x USB 3.2
1 x USB 2.0
Audio combo
1 x HDMI",31.71 x 22.20 x 1.99 cm,1.6 kg,,Bạc,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet , không phím số , không đèn",,Khuôn mặt,"Adapter, dây nguồn,…",VivoBook,90NB0ZC1-M00BE0,24 tháng,,2800 x 1800,600.0,basic
Laptop ASUS Vivobook 14 X1404ZA-NK386W,9690000.0,ASUS,Intel Core i31215U,8.0,512.0,14.0,42.0,10MB,6.0,1.2 GHz,,Intel UHD Graphics,3200MHz,1.0,DDR4,SonicMaster,HD,Windows 11 Home,"1 x USB Type C
2 x USB 3.2
1 x USB 2.0
Audio combo
1 x HDMI",32.49 x 21.39 x 1.79 cm,1.4 kg,,Xanh,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet , không phím số , không đèn",không đèn,Vân tay,"Adapter, dây nguồn,…",VivoBook,90NB1001-M00FB0,24 tháng,,1920 x 1080,250.0,basic
Laptop ASUS Vivobook 15X Oled M3504YA-L1268W,13990000.0,ASUS,AMD Ryzen 5 7530U,16.0,512.0,15.6,50.0,16MB,6.0,2.0 GHz,,AMD Radeon Graphics,,1.0,DDR4,Dolby Atmos,HD,Windows 11 Home,"1 x USB Type C / Power Delivery
2 x USB 3.2
1 x USB 2.0
Audio combo
1 x HDMI",35.97 x 23.25 x 1.79 cm,1.7 kg,,Đen,"WiFi 802.11ac , Bluetooth 4.1","Bàn phím Chiclet , có phím số , không đèn",không đèn,,,VivoBook,90NB1181-M00530,24 tháng,,1920 x 1080,600.0,basic
Laptop ASUS Vivobook 15 OLED A1505VA-L1491W,21590000.0,ASUS,Intel Core i713700H,16.0,512.0,15.6,50.0,24MB,14.0,2.4 GHz,,Intel Iris Xe Graphics,3200MHz,1.0,DDR4,SonicMaster,HD,Windows 11 Home,"1 x USB Type C / Power Delivery
2 x USB 3.2
1 x USB 2.0
Audio combo
1 x HDMI",35.68 x 22.76 x 1.99 cm,1.7 kg,,Bạc,"Wi-Fi 6E (802.11ax) , Bluetooth 5.3","Bàn phím thường , có phím số , không đèn",không đèn,Vân tay,"Adapter, dây nguồn,…",VivoBook,90NB10P2-M00LD0,24 tháng,,1920 x 1080,600.0,basic
Laptop MSI Modern 14 C13M - 608VN,13990000.0,MSI,Intel Core i51335U,16.0,512.0,14.0,39.0,12MB,10.0,1.3 GHz,,Intel Iris Xe Graphics,3200MHz,1.0,DDR4,,HD,Windows 11 Home,"1 x USB Type C / DisplayPort / Power Delivery
1 x USB 3.2
2 x USB 2.0
1 x micro SD card slot
Audio combo
1 x HDMI",319.9 x 223 x 19.35 mm,1.4 kg,,Đen,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , không phím số , LED",không đèn,,,Modern Series,608VN,24 tháng,,1920 x 1080,,basic
Laptop Dell Vostro 3530 - V5I5267W1,15790000.0,Dell,Intel Core i51335U,8.0,256.0,15.6,41.0,12MB,10.0,1.3 GHz,,Intel Iris Xe Graphics,2666MHz,1.0,DDR4,Realtek Audio,HD,Windows 11 Home SL + Office Home & Student 2021,"1 x USB Type C
1 x USB 3.2
1 x USB 2.0
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s",358.50 x 235.56 x 2 mm,1.6 kg,,Xám,"WiFi 802.11ac , Bluetooth 5.0","Bàn phím thường , có phím số , không đèn",không đèn,,,Vostro,8V5I5267W1,12 tháng,120.0,1920 x 1080,,basic
Laptop ASUS Vivobook S 14 OLED S5406MA-PP028W,24590000.0,ASUS,Intel Core Ultra 5125H,16.0,512.0,14.0,75.0,18MB,14.0,3.6 GHz,Intel AI Boost NPU,Intel Arc Graphics,,1.0,LPDDR5,Smart Amp Technology,FHD,Windows 11 Home,"2 x USB 3.2
2 x Thunderbolt 4
1 x micro SD card slot
Audio combo
1 x HDMI",31.05 x 22.19 x 1.39 ~ 1.59 cm,1.3 kg,Vỏ kim loại,Xanh,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , RGB",,"Khuôn mặt - Trusted Platform Module (Firmware TPM), mật khẩu người dùng thiết lập BIOS, McAfee®",,VivoBook,90NB12H2-M00170,24 tháng,120.0,2880 x 1800,600.0,basic
Laptop ASUS Zenbook S 14 UX5406SA-PV140WS,44990000.0,ASUS,Intel Core Ultra 7258V,32.0,1024.0,14.0,72.0,12MB,8.0,2.2 GHz,Intel AI Boost 47 TOPS (Total up to 120 TOPs),Intel Arc Graphics,8533MHz,1.0,LPDDR5,Smart Amp Technology,FHD,Windows 11 Home SL,"1 x USB 3.2
2 x Thunderbolt 4
Audio combo
1 x HDMI",31.03 x 21.47 x (1.19 ~ 1.29) cm,1.2 kg,,Trắng,"Wi-Fi 7 BE , Bluetooth 5.4","Bàn phím Chiclet với phím Copilot , không phím số , LED",không đèn,"Khuôn mặt - - Trusted Platform Module (Firmware TPM)
- Bộ vi xử lý bảo mật Microsoft Pluton
- IR webcam có hỗ trợ Windows Hello",,ZenBook,90NB14F2-M006L0,24 tháng,120.0,2880 x 1800,500.0,basic
Laptop ASUS ROG Flow X16 GV601VV-NF044W,54990000.0,ASUS,Intel Core i913900H,16.0,1024.0,16.0,90.0,24MB,6.0,2.6 GHz,,NVIDIA GeForce RTX 4060,4800MHz,1.0,DDR5,Smart Amp Technology,FHD,Windows 11 Home,"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x Thunderbolt 4
1 x micro SD card slot
Audio combo
1 x HDMI",35.5 x 24.3 x 1.94 ~ 2.19 cm,2 kg,,Đen,"Wi-Fi 6E (802.11ax) , Bluetooth 5.3","Bàn phím Chiclet , không phím số , RGB",không đèn,Khuôn mặt,,ROG,90NR0D11-M003N0,24 tháng,240.0,2560 x 1600,500.0,Gaming
Laptop MSI Prestige 14 AI Studio C1VEG-056VN,32990000.0,MSI,Intel Core Ultra 7155H,32.0,1024.0,14.0,90.0,24MB,16.0,3.8 GHz,Intel AI Boost NPU,NVIDIA GeForce RTX 4050,5600MHz,2.0,DDR5,DTS Audio Processing,FHD,Windows 11 Home,"2 x USB Type C / DisplayPort / Power Delivery
1 x USB 3.2
1 x 3.5 mm
1 x HDMI
LAN 1 Gb/s",313.4 x 246.5 x 18.95 mm,1.7 kg,Vỏ kim loại,Xám,"WiFi 7 BE , Bluetooth 5.4","Bàn phím thường , không phím số , LED",không đèn,Vân tay,Adapter,Prestige,056VN,24 tháng,,2880 x 1800,400.0,Gaming
Laptop MSI Prestige 14 AI Studio C1UDXG-058VN,26990000.0,MSI,Intel Core Ultra 7155H,16.0,1024.0,14.0,90.0,24MB,16.0,3.8 GHz,Intel AI Boost NPU,NVIDIA GeForce RTX 3050,5600MHz,1.0,DDR5,DTS Audio Processing,FHD,Windows 11 Home,"2 x USB Type C / DisplayPort / Power Delivery
1 x USB 3.2
1 x 3.5 mm
1 x HDMI
LAN 1 Gb/s",313.4 x 246.5 x 18.95 mm,1.7 kg,Vỏ kim loại,Xám,"WiFi 7 BE , Bluetooth 5.4","Có phím Copilot , không phím số , LED",không đèn,"Vân tay - Discrete Trusted Platform Module(dTPM) 2.0, Firmware Trusted Platform Module(fTPM) 2.0, Webcam Shutter, Kensington Lock",Đi kèm 140W Adaptor,Prestige,058VN,24 tháng,,1920 x 1200,,Gaming
Laptop ASUS ROG Zephyrus G16 GA605WI 2024,77990000.0,ASUS,AMD Ryzen AI 9 HX 370,32.0,1024.0,16.0,90.0,24MB,12.0,5.1 GHz,AMD XDNA ln n 50TOPs,NVIDIA GeForce RTX 4070,,2.0,LPDDR5,Dolby Atmos,FHD,Windows 11 Home SL + Office Home & Student 2021,"2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI",35.4 x 24.6 x 1.49 ~ 1.64 cm,1.85 kg,Kim loại,Xám,"WiFi 7 BE , Bluetooth 5.4","Bàn phím Chiclet với phím Copilot , không phím số , RGB",không đèn,"Khuôn mặt - Bảo mật mật khẩu BIOS, TPM, Pluton, Secured-core PC (Level 3)",,ROG,90NR0J91-M008C0,24 tháng,240.0,2560 x 1600,,Gaming
Laptop ASUS TUF Gaming A14 2024,42490000.0,ASUS,AMD Ryzen AI 9 HX 370,16.0,1024.0,14.0,73.0,36MB,12.0,5.1 GHz,AMD XDNA ln n 50TOPs,NVIDIA GeForce RTX 4060,7500MHz,2.0,LPDDR5,Dolby Atmos,FHD,Windows 11 Home SL + Office Home & Student 2021,"2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x micro SD card slot
Audio combo
1 x HDMI",31.1 x 22.7 x 1.69 ~ 1.99 cm,1.5 kg,Vỏ kim loại,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , LED",không đèn,Khuôn mặt - Windows Hello Tính năng bảo vệ mật khẩu admin BIOS và mật khẩu người dùng; Bộ vi xử lý bảo mật Pluton; Công nghệ bảo mật Secured-core PC (mức 3),,TUF Gaming,90NR0J41-M004D0,24 tháng,165.0,2560 x 1600,400.0,Gaming
Laptop ASUS Vivobook S 14 M5406WA-PP071WS,32190000.0,ASUS,AMD Ryzen AI 9 HX 370,32.0,1024.0,14.0,75.0,24MB,12.0,5.1 GHz,AMD XDNA ln n 50TOPs,AMD Radeon 890M,,1.0,LPDDR5,Smart Amp Technology,FHD,Windows 11 Home,"2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x micro SD card slot
Audio combo
1 x HDMI",31.05 x 22.19 x 1.39 ~ 1.59 cm,1.3 kg,Vỏ kim loại,Bạc,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , LED",không đèn,"Khuôn mặt - - Webcam hồng ngoại có hỗ trợ Windows Hello
- Mật khẩu người dùng thiết lập BIOS
- Mô-đun nền tảng đáng tin cậy (Firmware TPM)",,VivoBook,90NB14P1-M003R0,24 tháng,120.0,2880 x 1800,600.0,basic
Laptop ACER Swift Lite 14 AI SFL14-51M-56HS,18590000.0,ACER,Intel Core Ultra 5125H,16.0,512.0,14.0,58.0,12MB,12.0,1.3 GHz,Intel AI Boost NPU,Intel Arc Graphics,5600MHz,2.0,DDR5,,FHD,Windows 11 Home SL,"1 x USB Type C / DisplayPort
3 x USB 3.2
1 x micro SD card slot
Audio combo
1 x HDMI",314.4 x 221.9 x 17.5/17.5 mm,1.3 kg,Vỏ nhôm,Bạc,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.1","Bàn phím Chiclet với phím Copilot , không phím số , không đèn",không đèn,,Cáp + Sạc,Swift Lite,,12 tháng,,1920 x 1200,300.0,basic
Laptop ACER Nitro V 16 ProPanel ANV16-41-R7EN,27490000.0,ACER,AMD Ryzen 7 8845HS,16.0,512.0,16.0,57.0,16MB,8.0,3.8 GHz,AMD XDNA 16 TOPS,NVIDIA GeForce RTX 3050,5600MHz,2.0,DDR5,,HD,Windows 11 Home SL,"1 x USB Type C / DisplayPort
2 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s",361.8 x 278.4 x 24.74/25.46 mm,2.5 kg,Vỏ nhựa,Đen,"Wi-Fi 6E (802.11ax) , Bluetooth 5.3","Có phím Copilot , có phím số , LED",không đèn,,"Adapter, dây nguồn, HDSD,…",Nitro V,NH.QP2SV.004,12 tháng,165.0,1920 x 1200,300.0,Gaming
Laptop ACER Swift Go AI OLED SFG14-73-57FZ,23390000.0,ACER,Intel Core Ultra 5125H,16.0,512.0,14.0,65.0,18MB,14.0,3.6 GHz,Intel AI Boost NPU,Intel Arc Graphics,6400MHz,1.0,LPDDR5,Acer TrueHarmony Technology,QHD,"Windows 11 Home SL, English","2 x USB 3.2
2 x Thunderbolt 4
1 x micro SD card slot
Audio combo
1 x HDMI",31.29 x 21.79 x 1.49 cm,1.3 kg,Vỏ nhôm,Bạc,"WiFi 7 BE , Bluetooth 5.4","Bàn phím Chiclet với phím Copilot , không phím số , LED",không đèn,Vân tay,,Swift Go,NX.KSGSV.001,12 tháng,90.0,2880 x 1800,400.0,basic
Laptop AI LG Gram 14Z90S-G.AH75A5,40490000.0,LG,Intel Core Ultra 7155H,16.0,512.0,14.0,72.0,24MB,16.0,3.8 GHz,Intel AI Boost NPU,Intel Arc Graphics,6400MHz,2.0,LPDDR5,Dolby Atmos,FHD,Windows 11 Home,"1 x USB Type C / Power Delivery
2 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 100 Mbps",312 x 214.3 x 16.9 mm,1.1 kg,,Đen,"Wi-Fi 6E (802.11ax) , Bluetooth 5.3","Bàn phím thường , không phím số , LED",không đèn,,USB-C to RJ45 adapter (B2B option),Gram,G.AH75A5,12 tháng,,1920 x 1200,350.0,basic
Laptop LG Gram 2024 14Z90S-G.AH55A5,35490000.0,LG,Intel Core Ultra 5125H,16.0,512.0,14.0,72.0,18MB,14.0,3.6 GHz,Intel AI Boost NPU,Intel Arc Graphics,6400MHz,2.0,LPDDR5,Dolby Atmos,FHD,Windows 11 Home,"1 x USB Type C / Power Delivery
2 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI",312 x 214.3 x 16.9 mm,1.12 kg,,Đen,"Wi-Fi 6E (802.11ax) , Bluetooth 5.3","Bàn phím thường , không phím số , LED",không đèn,,USB-C to RJ45 adapter (B2B option),Gram,G.AH55A5,12 tháng,,1920 x 1200,350.0,basic
